Platform,Year_of_Release,Genre,Publisher,Rating,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
GC,2002.0,Action,Activision,E,0.86,0.27,0.01,0.04,1.19,76.0,14.0,7.3,11.0
DS,2006.0,Puzzle,Nintendo,E,0.73,0.03,0.36,0.07,1.19,76.0,32.0,7.9,17.0
PSP,2006.0,Action,Konami Digital Entertainment,M,0.38,0.35,0.38,0.08,1.18,87.0,54.0,8.2,147.0
PS3,2013.0,Fighting,Warner Bros. Interactive Entertainment,T,0.48,0.5,0.01,0.2,1.18,78.0,37.0,7.9,282.0
DC,1999.0,Adventure,Sega,T,0.52,0.24,0.38,0.04,1.18,88.0,9.0,9.4,201.0
X360,2012.0,Misc,Ubisoft,E10+,0.9,0.19,0.0,0.09,1.18,77.0,23.0,7.7,36.0
GBA,2001.0,Sports,Activision,E,0.85,0.31,0.0,0.02,1.18,95.0,16.0,7.5,22.0
PS3,2012.0,Action,Namco Bandai Games,T,0.01,0.23,0.86,0.08,1.18,64.0,33.0,6.5,55.0
PS2,2005.0,Shooter,Activision,M,0.98,0.04,0.0,0.16,1.17,77.0,43.0,8.7,70.0
PS2,2002.0,Platform,Electronic Arts,E,0.57,0.45,0.0,0.15,1.17,70.0,14.0,8.8,60.0
PS3,2012.0,Action,Capcom,M,0.48,0.24,0.36,0.1,1.17,52.0,36.0,4.9,222.0
PSP,2008.0,Action,LucasArts,E10+,0.4,0.48,0.0,0.29,1.17,76.0,8.0,7.6,11.0
Wii,2009.0,Adventure,Nintendo,E,0.53,0.16,0.42,0.06,1.17,62.0,22.0,7.2,36.0
PS3,2011.0,Fighting,THQ,T,0.53,0.45,0.02,0.17,1.17,72.0,28.0,6.9,80.0
PS2,2003.0,Sports,Zoo Digital Publishing,T,0.57,0.45,0.0,0.15,1.17,57.0,4.0,8.4,37.0
PC,2015.0,Action,Take-Two Interactive,M,0.39,0.69,0.0,0.09,1.17,96.0,57.0,7.9,3756.0
PC,2010.0,Role-Playing,Bethesda Softworks,M,0.59,0.45,0.0,0.14,1.17,84.0,39.0,8.6,2754.0
PS3,2009.0,Fighting,THQ,T,0.48,0.48,0.01,0.2,1.17,81.0,38.0,8.1,55.0
XB,2003.0,Shooter,Electronic Arts,T,0.76,0.36,0.0,0.05,1.17,65.0,23.0,5.8,28.0
PS3,2008.0,Shooter,Electronic Arts,M,0.74,0.26,0.02,0.15,1.17,74.0,43.0,7.3,118.0
PC,2008.0,Strategy,Electronic Arts,E10+,0.03,1.06,0.0,0.08,1.17,84.0,75.0,5.3,1711.0
GBA,2004.0,Puzzle,Nintendo,E,0.68,0.25,0.21,0.02,1.17,81.0,43.0,8.0,31.0
PS3,2011.0,Action,LucasArts,E10+,0.52,0.46,0.0,0.19,1.16,76.0,36.0,7.3,34.0
PS2,2006.0,Racing,Take-Two Interactive,E10+,0.97,0.04,0.0,0.16,1.16,85.0,19.0,8.9,53.0
PS2,2004.0,Shooter,Ubisoft,T,0.57,0.44,0.0,0.15,1.16,70.0,31.0,6.3,24.0
PS,1997.0,Fighting,Sony Computer Entertainment,T,0.39,0.27,0.43,0.08,1.16,83.0,13.0,7.9,16.0
X360,2008.0,Platform,Electronic Arts,T,0.51,0.51,0.01,0.13,1.16,79.0,82.0,7.6,328.0
PS3,2006.0,Platform,Sega,E10+,0.41,0.06,0.04,0.66,1.16,43.0,17.0,4.1,176.0
PS2,2001.0,Racing,Electronic Arts,E,0.57,0.44,0.0,0.15,1.16,85.0,17.0,8.5,22.0
X360,2011.0,Sports,Ubisoft,E,0.7,0.36,0.0,0.1,1.16,77.0,13.0,7.6,21.0
XOne,2013.0,Sports,Electronic Arts,E,0.41,0.66,0.0,0.09,1.16,88.0,22.0,5.8,328.0
PSP,2007.0,Role-Playing,Square Enix,T,0.45,0.24,0.3,0.16,1.16,88.0,41.0,8.0,238.0
X360,2010.0,Shooter,City Interactive,M,0.54,0.5,0.0,0.12,1.16,45.0,39.0,5.8,89.0
DS,2007.0,Platform,Sega,E,0.53,0.48,0.01,0.12,1.15,78.0,32.0,8.2,66.0
PC,2008.0,Simulation,Sega,E,0.0,1.14,0.0,0.01,1.15,83.0,29.0,8.1,30.0
PS2,2001.0,Action,Midway Games,T,0.56,0.44,0.0,0.15,1.15,73.0,15.0,8.3,30.0
PSP,2007.0,Shooter,Electronic Arts,T,0.5,0.39,0.02,0.25,1.15,69.0,20.0,7.3,30.0
PS2,2004.0,Shooter,Empire Interactive,M,0.56,0.44,0.0,0.15,1.15,43.0,5.0,3.4,13.0
X360,2012.0,Action,Electronic Arts,M,0.59,0.45,0.01,0.1,1.15,53.0,43.0,5.4,437.0
PSP,2009.0,Sports,Electronic Arts,E,0.15,0.67,0.01,0.31,1.15,83.0,9.0,7.9,14.0
GC,2003.0,Misc,Nintendo,E,0.5,0.16,0.46,0.03,1.15,76.0,55.0,8.3,21.0
PC,2007.0,Shooter,Activision,M,0.0,1.12,0.0,0.03,1.15,92.0,40.0,8.5,2360.0
PS2,2003.0,Platform,THQ,E,0.56,0.44,0.0,0.15,1.15,68.0,28.0,9.0,28.0
PS4,2014.0,Sports,Take-Two Interactive,T,0.39,0.57,0.0,0.19,1.15,62.0,44.0,5.1,164.0
PS2,2003.0,Action,Activision,M,0.44,0.34,0.25,0.11,1.14,79.0,33.0,8.4,38.0
PS2,2005.0,Action,Sony Computer Entertainment,T,0.78,0.03,0.2,0.13,1.14,91.0,77.0,9.1,933.0
PS,1998.0,Role-Playing,SquareSoft,E,0.25,0.17,0.65,0.07,1.14,81.0,12.0,8.5,17.0
PS3,2007.0,Action,Eidos Interactive,M,0.57,0.32,0.09,0.16,1.14,88.0,46.0,7.5,155.0
PS3,2013.0,Sports,Take-Two Interactive,T,0.49,0.46,0.0,0.19,1.14,74.0,22.0,7.5,121.0
3DS,2011.0,Action,Nintendo,E10+,0.47,0.26,0.35,0.07,1.14,56.0,36.0,7.1,50.0
PS3,2008.0,Action,Activision,T,0.43,0.51,0.02,0.19,1.14,65.0,42.0,6.6,47.0
PS2,2005.0,Simulation,Konami Digital Entertainment,E10+,0.95,0.04,0.0,0.16,1.14,76.0,27.0,9.0,21.0
XB,2003.0,Action,Electronic Arts,T,0.71,0.38,0.0,0.05,1.14,84.0,31.0,9.1,31.0
PS3,2007.0,Sports,Sony Computer Entertainment,E,0.31,0.03,0.76,0.04,1.14,81.0,66.0,8.8,32.0
XOne,2014.0,Shooter,Microsoft Game Studios,M,0.63,0.4,0.0,0.1,1.14,81.0,89.0,7.7,1137.0
PS2,2001.0,Simulation,Atari,T,0.12,0.1,0.88,0.03,1.14,73.0,15.0,8.8,32.0
PS4,2016.0,Fighting,Namco Bandai Games,T,0.41,0.45,0.11,0.17,1.14,79.0,60.0,8.2,201.0
XB,2002.0,Simulation,Microsoft Game Studios,T,1.01,0.1,0.0,0.03,1.13,87.0,32.0,8.0,47.0
GBA,2006.0,Racing,THQ,E,0.81,0.3,0.0,0.02,1.13,50.0,8.0,4.7,6.0
PS4,2016.0,Action,Ubisoft,M,0.37,0.58,0.0,0.18,1.13,83.0,88.0,7.8,621.0
3DS,2011.0,Action,LucasArts,E10+,0.61,0.43,0.0,0.09,1.13,67.0,25.0,6.1,31.0
XB,2004.0,Shooter,Ubisoft,M,0.99,0.12,0.0,0.02,1.13,84.0,55.0,8.6,14.0
PS3,2008.0,Platform,Electronic Arts,T,0.31,0.58,0.02,0.22,1.13,79.0,66.0,7.8,362.0
X360,2009.0,Misc,Activision,T,0.65,0.37,0.0,0.11,1.13,85.0,69.0,6.8,108.0
PS4,2014.0,Shooter,Sega,M,0.34,0.57,0.04,0.17,1.13,79.0,50.0,8.1,795.0
3DS,2012.0,Role-Playing,Nintendo,E10+,0.33,0.37,0.37,0.06,1.13,73.0,51.0,8.6,209.0
PS3,2007.0,Misc,Sony Computer Entertainment,T,0.45,0.56,0.0,0.12,1.13,82.0,48.0,5.9,15.0
3DS,2015.0,Action,Nintendo,E,0.53,0.33,0.17,0.08,1.12,73.0,73.0,7.6,179.0
PS2,2001.0,Racing,Activision,E,0.55,0.43,0.0,0.14,1.12,57.0,15.0,7.6,9.0
Wii,2009.0,Platform,Ubisoft,E10+,0.25,0.74,0.0,0.14,1.12,78.0,50.0,8.3,32.0
PS3,2010.0,Racing,Sony Computer Entertainment,E,0.5,0.4,0.06,0.16,1.12,82.0,85.0,8.4,201.0
PSP,2005.0,Shooter,Sony Computer Entertainment,M,1.03,0.0,0.01,0.08,1.12,82.0,44.0,8.6,63.0
PS3,2011.0,Misc,Ubisoft,T,0.53,0.36,0.09,0.15,1.12,80.0,27.0,8.3,52.0
XB,2005.0,Shooter,Activision,T,0.66,0.4,0.0,0.05,1.12,78.0,46.0,5.1,27.0
X360,2011.0,Misc,Ubisoft,T,0.84,0.19,0.01,0.08,1.12,77.0,30.0,8.2,62.0
PS2,2009.0,Misc,Activision,T,0.28,0.3,0.0,0.54,1.12,71.0,4.0,2.6,10.0
PC,2007.0,Sports,Russel,E,0.0,1.12,0.0,0.0,1.12,86.0,15.0,8.0,19.0
PS3,2009.0,Action,Sega,M,0.21,0.2,0.62,0.08,1.12,79.0,77.0,8.1,165.0
PSV,2012.0,Role-Playing,Atlus,M,0.36,0.23,0.38,0.15,1.12,93.0,61.0,9.2,1228.0
XB,2004.0,Action,Activision,T,0.82,0.26,0.0,0.04,1.12,83.0,60.0,8.3,40.0
X360,2010.0,Shooter,Microsoft Game Studios,M,0.63,0.36,0.02,0.1,1.12,70.0,91.0,6.0,202.0
PS3,2009.0,Misc,MTV Games,T,0.67,0.29,0.0,0.15,1.12,88.0,60.0,8.7,59.0
X360,2011.0,Action,Electronic Arts,M,0.72,0.29,0.01,0.09,1.11,79.0,75.0,4.5,2380.0
XB,2003.0,Shooter,Microsoft Game Studios,M,0.85,0.23,0.0,0.04,1.11,74.0,38.0,7.6,51.0
PS2,2007.0,Misc,RedOctane,T,0.92,0.04,0.0,0.15,1.11,69.0,50.0,6.3,31.0
PS3,2011.0,Fighting,Electronic Arts,M,0.45,0.49,0.0,0.18,1.11,84.0,52.0,7.3,95.0
XB,2005.0,Action,Ubisoft,M,0.68,0.38,0.0,0.05,1.11,94.0,70.0,9.0,160.0
WiiU,2013.0,Strategy,Nintendo,E10+,0.44,0.32,0.29,0.07,1.11,87.0,79.0,8.7,664.0
X360,2013.0,Sports,Take-Two Interactive,T,0.64,0.37,0.0,0.1,1.11,75.0,43.0,7.7,100.0
PS4,2015.0,Fighting,Namco Bandai Games,T,0.3,0.52,0.12,0.16,1.11,69.0,50.0,7.7,598.0
PS3,2010.0,Action,Konami Digital Entertainment,M,0.5,0.35,0.1,0.15,1.1,85.0,62.0,8.0,468.0
DS,2011.0,Strategy,Mastertronic,E10+,0.9,0.12,0.0,0.08,1.1,81.0,23.0,7.4,29.0
GC,2003.0,Role-Playing,Nintendo,T,0.54,0.21,0.31,0.04,1.1,86.0,60.0,8.5,176.0
WiiU,2013.0,Platform,Nintendo,E10+,0.47,0.42,0.13,0.08,1.1,80.0,66.0,8.2,283.0
Wii,2007.0,Racing,Electronic Arts,E10+,0.53,0.45,0.0,0.12,1.1,61.0,16.0,6.9,14.0
PS3,2008.0,Racing,Codemasters,E,0.31,0.56,0.03,0.2,1.1,87.0,39.0,8.1,109.0
X360,2007.0,Shooter,Electronic Arts,T,0.45,0.52,0.01,0.12,1.1,73.0,54.0,6.7,77.0
PS,1998.0,Role-Playing,Sony Computer Entertainment,E,0.26,0.1,0.72,0.02,1.1,80.0,13.0,8.5,44.0
X360,2013.0,Sports,Electronic Arts,E,1.01,0.0,0.0,0.08,1.09,77.0,18.0,5.8,74.0
PS2,2006.0,Adventure,Sega,M,0.05,0.04,0.84,0.16,1.09,77.0,34.0,8.1,52.0
PS3,2009.0,Misc,Activision,T,0.53,0.39,0.0,0.17,1.09,86.0,54.0,5.7,87.0
GBA,2003.0,Role-Playing,Atari,E,0.78,0.29,0.0,0.02,1.09,75.0,21.0,8.9,39.0
Wii,2008.0,Shooter,Electronic Arts,E10+,0.91,0.09,0.0,0.09,1.09,66.0,13.0,4.4,7.0
DC,2000.0,Sports,Sega,E,1.02,0.05,0.0,0.02,1.09,97.0,22.0,6.0,47.0
PSP,2005.0,Role-Playing,Activision,T,0.54,0.33,0.01,0.22,1.09,68.0,51.0,7.6,58.0
PS4,2015.0,Racing,Slightly Mad Studios,E,0.2,0.7,0.02,0.16,1.09,83.0,37.0,6.6,363.0
XB,2003.0,Sports,Electronic Arts,E,1.02,0.02,0.0,0.05,1.09,92.0,27.0,8.3,48.0
Wii,2009.0,Platform,Sega,E10+,0.64,0.34,0.01,0.1,1.09,54.0,51.0,6.9,198.0
PS2,2006.0,Action,Electronic Arts,M,0.89,0.03,0.01,0.15,1.09,75.0,56.0,8.3,99.0
X360,2010.0,Racing,Sega,E,0.74,0.25,0.0,0.09,1.09,47.0,52.0,2.1,98.0
PS2,2002.0,Shooter,LucasArts,T,0.53,0.42,0.0,0.14,1.09,65.0,32.0,8.3,33.0
PS3,2010.0,Fighting,THQ,T,0.44,0.46,0.01,0.18,1.09,74.0,42.0,6.9,41.0
X360,2012.0,Action,Electronic Arts,E,1.02,0.0,0.0,0.07,1.09,76.0,20.0,5.5,65.0
X360,2009.0,Sports,Electronic Arts,T,0.82,0.17,0.01,0.09,1.09,84.0,70.0,8.0,72.0
PS2,2003.0,Racing,Electronic Arts,E,0.53,0.41,0.0,0.14,1.08,88.0,15.0,8.9,77.0
PSP,2005.0,Misc,Sony Computer Entertainment,E10+,0.75,0.18,0.0,0.16,1.08,73.0,28.0,7.2,9.0
PC,2009.0,Strategy,Sega,T,0.01,0.97,0.0,0.1,1.08,90.0,62.0,6.9,2981.0
PS3,2007.0,Fighting,Sega,T,0.29,0.51,0.08,0.2,1.08,85.0,47.0,7.4,67.0
PS3,2010.0,Action,Electronic Arts,M,0.64,0.28,0.04,0.13,1.08,75.0,69.0,7.5,265.0
PS2,2004.0,Shooter,Ubisoft,T,0.64,0.34,0.0,0.1,1.08,58.0,21.0,6.0,19.0
XOne,2016.0,Racing,Microsoft Game Studios,E,0.42,0.58,0.0,0.08,1.08,91.0,90.0,7.4,594.0
PSP,2008.0,Action,LucasArts,T,0.43,0.4,0.0,0.24,1.08,70.0,10.0,8.1,49.0
GBA,2003.0,Fighting,Atari,T,0.77,0.29,0.0,0.02,1.08,40.0,23.0,6.1,22.0
GC,2005.0,Shooter,Nintendo,T,0.68,0.18,0.19,0.03,1.08,67.0,59.0,8.1,106.0
X360,2014.0,Shooter,Electronic Arts,E10+,0.51,0.47,0.0,0.09,1.08,69.0,6.0,7.3,121.0
PSP,2007.0,Action,Electronic Arts,T,0.24,0.54,0.0,0.3,1.07,59.0,7.0,6.7,15.0
DS,2006.0,Action,LucasArts,E,0.96,0.03,0.0,0.08,1.07,47.0,9.0,5.0,38.0
PS2,2006.0,Shooter,Activision,T,0.89,0.03,0.0,0.15,1.07,82.0,14.0,7.4,83.0
Wii,2010.0,Sports,Electronic Arts,E,0.26,0.69,0.0,0.12,1.07,73.0,17.0,7.3,8.0
PS3,2008.0,Action,Ubisoft,T,0.47,0.4,0.03,0.17,1.07,85.0,59.0,7.3,245.0
X360,2008.0,Action,Eidos Interactive,T,0.53,0.42,0.01,0.11,1.07,76.0,57.0,6.6,198.0
X360,2007.0,Sports,Konami Digital Entertainment,E,0.08,0.9,0.04,0.05,1.07,76.0,29.0,7.8,36.0
PS2,2005.0,Fighting,Namco Bandai Games,T,0.74,0.15,0.13,0.05,1.07,86.0,57.0,8.4,96.0
Wii,2009.0,Sports,Electronic Arts,E,0.6,0.36,0.0,0.11,1.07,88.0,44.0,8.8,57.0
PSP,2005.0,Sports,Sony Computer Entertainment,E,0.1,0.63,0.0,0.34,1.07,70.0,31.0,5.6,5.0
PS3,2008.0,Fighting,Namco Bandai Games,T,0.49,0.34,0.09,0.15,1.07,75.0,32.0,8.6,95.0
PS3,2013.0,Role-Playing,Square Enix,T,0.31,0.2,0.45,0.11,1.07,66.0,62.0,5.9,552.0
PS2,2006.0,Fighting,Midway Games,M,0.88,0.04,0.0,0.14,1.06,75.0,43.0,8.5,84.0
PS2,2002.0,Racing,Electronic Arts,E,0.52,0.41,0.0,0.14,1.06,81.0,25.0,7.3,14.0
PSP,2009.0,Action,Take-Two Interactive,M,0.28,0.49,0.03,0.27,1.06,90.0,77.0,7.3,146.0
DS,2008.0,Simulation,Electronic Arts,E,0.66,0.3,0.0,0.1,1.06,65.0,20.0,6.5,21.0
PS3,2007.0,Shooter,Electronic Arts,M,0.28,0.58,0.0,0.21,1.06,89.0,21.0,8.4,188.0
X360,2009.0,Misc,Activision,T,0.56,0.39,0.0,0.11,1.06,84.0,72.0,8.0,42.0
X360,2008.0,Action,Take-Two Interactive,T,0.53,0.4,0.03,0.11,1.06,80.0,56.0,8.3,154.0
PS2,2005.0,Sports,Electronic Arts,E,0.52,0.41,0.0,0.14,1.06,89.0,36.0,8.7,37.0
PS2,2003.0,Action,Universal Interactive,T,0.52,0.41,0.0,0.14,1.06,71.0,28.0,8.3,22.0
XOne,2016.0,Shooter,Activision,T,0.63,0.33,0.0,0.1,1.06,91.0,18.0,5.6,668.0
X360,2010.0,Shooter,Sega,M,0.55,0.4,0.0,0.11,1.06,64.0,64.0,7.3,247.0
PS3,2012.0,Action,Activision,E10+,0.36,0.49,0.0,0.2,1.06,77.0,21.0,6.3,18.0
PC,2001.0,Role-Playing,Vivendi Games,M,1.03,0.02,0.0,0.0,1.06,87.0,21.0,9.1,639.0
Wii,2007.0,Adventure,Nintendo,E,0.43,0.46,0.09,0.09,1.06,72.0,42.0,8.1,61.0
GBA,2004.0,Action,Activision,E,0.76,0.28,0.0,0.02,1.06,65.0,12.0,7.7,6.0
PS2,2002.0,Racing,Play It,T,0.52,0.4,0.0,0.14,1.06,63.0,9.0,8.8,10.0
X360,2010.0,Action,THQ,M,0.67,0.28,0.01,0.1,1.06,83.0,81.0,7.9,292.0
X360,2008.0,Shooter,Electronic Arts,T,0.65,0.3,0.01,0.1,1.06,72.0,69.0,7.2,152.0
PS3,2007.0,Simulation,Sony Computer Entertainment,T,0.49,0.39,0.0,0.17,1.06,84.0,50.0,8.4,183.0
PS3,2011.0,Racing,Codemasters,T,0.27,0.57,0.01,0.2,1.06,87.0,52.0,7.1,122.0
Wii,2008.0,Sports,Sega,E10+,0.28,0.65,0.0,0.13,1.05,71.0,24.0,7.0,16.0
PS3,2007.0,Racing,Codemasters,E,0.16,0.66,0.0,0.23,1.05,83.0,32.0,8.0,32.0
DS,2007.0,Shooter,Activision,T,0.95,0.01,0.01,0.08,1.05,75.0,22.0,6.9,36.0
Wii,2009.0,Action,Capcom,M,0.46,0.31,0.2,0.09,1.05,75.0,55.0,8.0,60.0
PSP,2006.0,Shooter,Sony Computer Entertainment,T,0.81,0.11,0.0,0.13,1.05,81.0,31.0,9.0,36.0
PS2,2002.0,Sports,Sega,E,0.51,0.4,0.0,0.13,1.05,89.0,21.0,8.0,22.0
PS3,2012.0,Action,Warner Bros. Interactive Entertainment,E10+,0.37,0.49,0.0,0.19,1.05,82.0,16.0,8.3,85.0
XB,2001.0,Racing,Electronic Arts,T,0.78,0.26,0.0,0.01,1.05,61.0,17.0,8.3,6.0
PS,2000.0,Sports,Acclaim Entertainment,E,0.91,0.11,0.0,0.03,1.05,82.0,14.0,8.4,5.0
PS4,2014.0,Sports,Electronic Arts,T,0.46,0.41,0.01,0.17,1.05,70.0,57.0,6.1,279.0
XB,2005.0,Racing,Microsoft Game Studios,E,0.52,0.51,0.0,0.02,1.05,92.0,73.0,7.6,213.0
PS3,2007.0,Sports,Sega,E,0.23,0.58,0.03,0.21,1.05,80.0,35.0,7.9,32.0
PS2,2003.0,Sports,Electronic Arts,E,0.51,0.4,0.0,0.13,1.04,81.0,22.0,8.9,17.0
X360,2009.0,Fighting,THQ,T,0.56,0.37,0.01,0.1,1.04,80.0,59.0,8.4,36.0
PS3,2012.0,Action,Square Enix,M,0.31,0.49,0.05,0.19,1.04,83.0,40.0,7.7,645.0
GC,2003.0,Fighting,Nintendo,T,0.44,0.12,0.45,0.03,1.04,74.0,22.0,8.9,39.0
PS2,2006.0,Simulation,Konami Digital Entertainment,E10+,0.87,0.03,0.0,0.14,1.04,73.0,25.0,8.7,6.0
PS3,2010.0,Shooter,Sega,M,0.41,0.46,0.0,0.18,1.04,65.0,57.0,7.3,168.0
GBA,2001.0,Racing,Nintendo,E,0.39,0.16,0.37,0.12,1.04,86.0,19.0,8.5,22.0
X360,2006.0,Platform,Sega,E10+,0.44,0.48,0.0,0.11,1.04,46.0,38.0,4.4,455.0
XB,2005.0,Racing,Electronic Arts,T,0.53,0.46,0.0,0.05,1.04,83.0,32.0,8.8,29.0
X360,2007.0,Action,Electronic Arts,T,0.54,0.39,0.0,0.11,1.03,71.0,52.0,7.7,71.0
PS3,2012.0,Racing,Codemasters,E,0.12,0.63,0.05,0.23,1.03,81.0,23.0,7.5,54.0
X360,2011.0,Shooter,Bethesda Softworks,T,0.59,0.35,0.01,0.09,1.03,68.0,85.0,5.8,404.0
PS2,2005.0,Racing,THQ,E,0.86,0.03,0.0,0.14,1.03,79.0,30.0,8.4,17.0
PSP,2005.0,Racing,Sony Computer Entertainment,E,0.47,0.34,0.0,0.23,1.03,88.0,56.0,7.9,102.0
PS3,2012.0,Action,THQ,T,0.55,0.32,0.03,0.13,1.03,86.0,30.0,7.4,92.0
X360,2011.0,Action,Disney Interactive Studios,E10+,0.54,0.39,0.0,0.09,1.03,73.0,54.0,7.0,31.0
PS3,2007.0,Shooter,Ubisoft,T,0.34,0.48,0.02,0.19,1.03,84.0,29.0,8.1,41.0
DS,2005.0,Platform,Nintendo,E,0.7,0.05,0.21,0.07,1.03,75.0,48.0,7.6,33.0
Wii,2008.0,Action,Warner Bros. Interactive Entertainment,E10+,0.46,0.47,0.0,0.11,1.03,67.0,12.0,7.0,8.0
PS2,2003.0,Sports,Electronic Arts,E,0.5,0.39,0.0,0.13,1.03,82.0,16.0,8.8,12.0
WiiU,2016.0,Action,Nintendo,T,0.56,0.3,0.08,0.09,1.03,86.0,74.0,8.4,329.0
PS3,2008.0,Action,Activision,E10+,0.44,0.42,0.0,0.17,1.03,77.0,36.0,7.7,30.0
PC,1996.0,Action,Eidos Interactive,M,0.96,0.07,0.0,0.0,1.03,86.0,18.0,8.5,3552.0
PS,1998.0,Fighting,Virgin Interactive,T,0.38,0.12,0.51,0.02,1.03,93.0,12.0,8.5,46.0
Wii,2009.0,Adventure,Electronic Arts,E,0.61,0.32,0.0,0.1,1.03,78.0,28.0,8.6,28.0
PSP,2009.0,Racing,Sony Computer Entertainment,T,0.16,0.57,0.0,0.29,1.02,79.0,58.0,8.8,39.0
Wii,2007.0,Sports,Electronic Arts,E,0.32,0.59,0.01,0.11,1.02,65.0,13.0,6.1,26.0
Wii,2007.0,Sports,Electronic Arts,E,0.93,0.01,0.0,0.08,1.02,72.0,24.0,7.0,22.0
Wii,2007.0,Fighting,Atari,T,0.32,0.36,0.26,0.09,1.02,72.0,27.0,8.4,61.0
GC,2004.0,Platform,Activision,E,0.73,0.26,0.01,0.03,1.02,70.0,25.0,6.4,14.0
XOne,2016.0,Sports,Take-Two Interactive,E,0.86,0.06,0.0,0.11,1.02,90.0,17.0,6.2,91.0
X360,2007.0,Shooter,Ubisoft,T,0.87,0.05,0.02,0.08,1.02,86.0,58.0,8.1,89.0
PS3,2008.0,Platform,Sega,E10+,0.56,0.32,0.01,0.14,1.02,54.0,24.0,7.9,130.0
Wii,2011.0,Action,Disney Interactive Studios,E10+,0.64,0.28,0.0,0.1,1.02,61.0,11.0,6.0,5.0
Wii,2010.0,Misc,Ubisoft,E10+,0.25,0.65,0.0,0.12,1.02,48.0,6.0,3.3,4.0
X360,2009.0,Action,Activision,E10+,0.62,0.31,0.0,0.09,1.02,71.0,41.0,7.4,25.0
X360,2011.0,Shooter,Electronic Arts,M,0.61,0.32,0.01,0.08,1.02,84.0,83.0,7.6,439.0
PS3,2013.0,Platform,Activision,E10+,0.43,0.42,0.0,0.17,1.02,83.0,31.0,5.3,33.0
XB,2006.0,Sports,Electronic Arts,E,0.97,0.03,0.0,0.03,1.02,83.0,27.0,8.7,6.0
3DS,2011.0,Platform,Sega,E,0.44,0.47,0.01,0.09,1.02,66.0,29.0,6.9,108.0
Wii,2008.0,Misc,MTV Games,T,0.93,0.01,0.0,0.08,1.02,92.0,10.0,7.7,45.0
PS2,2004.0,Action,Electronic Arts,E,0.5,0.39,0.0,0.13,1.02,70.0,29.0,8.7,29.0
DS,2012.0,Role-Playing,Nintendo,E,0.56,0.05,0.37,0.04,1.02,80.0,40.0,8.2,89.0
Wii,2008.0,Platform,THQ,E,0.51,0.4,0.0,0.11,1.01,51.0,18.0,3.6,8.0
Wii,2007.0,Fighting,Tomy Corporation,T,0.44,0.46,0.0,0.11,1.01,74.0,23.0,8.0,27.0
X360,2007.0,Simulation,Atari,T,0.69,0.04,0.22,0.06,1.01,80.0,54.0,7.9,101.0
Wii,2007.0,Action,Electronic Arts,T,0.45,0.46,0.0,0.11,1.01,64.0,19.0,6.1,38.0
X360,2008.0,Action,Tecmo Koei,M,0.65,0.22,0.05,0.1,1.01,81.0,74.0,8.0,302.0
X360,2014.0,Action,Ubisoft,M,0.58,0.34,0.0,0.09,1.01,72.0,32.0,7.3,318.0
PS4,2014.0,Platform,Ubisoft,E10+,0.22,0.64,0.0,0.16,1.01,90.0,16.0,8.5,525.0
X360,2008.0,Action,Ubisoft,T,0.54,0.34,0.02,0.1,1.01,81.0,73.0,7.0,189.0
WiiU,2012.0,Action,Ubisoft,M,0.52,0.36,0.05,0.08,1.01,77.0,70.0,7.7,758.0
WiiU,2016.0,Fighting,Namco Bandai Games,E10+,0.5,0.26,0.17,0.08,1.01,76.0,74.0,8.0,273.0
PS2,2003.0,Racing,Empire Interactive,E,0.49,0.38,0.0,0.13,1.0,51.0,5.0,8.0,8.0
Wii,2009.0,Shooter,Electronic Arts,E10+,0.93,0.0,0.0,0.07,1.0,67.0,12.0,4.5,6.0
PSP,2010.0,Action,Sony Computer Entertainment,M,0.41,0.35,0.03,0.21,1.0,86.0,73.0,8.4,255.0
XB,2003.0,Fighting,Namco Bandai Games,T,0.78,0.18,0.03,0.0,1.0,92.0,39.0,8.9,54.0
PS2,2002.0,Action,Tecmo Koei,T,0.13,0.1,0.74,0.03,1.0,72.0,16.0,9.3,54.0
PS3,2011.0,Platform,Ubisoft,E10+,0.33,0.49,0.01,0.17,1.0,87.0,43.0,8.4,238.0
XB,2000.0,Sports,Microsoft Game Studios,E,0.74,0.21,0.0,0.04,0.99,79.0,24.0,8.5,10.0
X360,2013.0,Misc,Ubisoft,E10+,0.72,0.17,0.0,0.1,0.99,79.0,16.0,7.8,33.0
X360,2011.0,Sports,Electronic Arts,E,0.94,0.0,0.0,0.06,0.99,82.0,25.0,6.6,49.0
X360,2012.0,Action,THQ,T,0.72,0.2,0.0,0.08,0.99,85.0,60.0,7.6,88.0
DS,2011.0,Platform,Nintendo,E,0.48,0.06,0.41,0.05,0.99,83.0,46.0,8.6,55.0
PS3,2008.0,Shooter,Ubisoft,M,0.49,0.33,0.02,0.15,0.99,55.0,65.0,6.5,294.0
PS,1998.0,Platform,GT Interactive,T,0.55,0.38,0.0,0.06,0.99,88.0,13.0,9.1,69.0
PS2,2000.0,Action,Sony Computer Entertainment,T,0.3,0.23,0.38,0.08,0.99,66.0,20.0,8.0,35.0
PS3,2009.0,Racing,Codemasters,T,0.27,0.52,0.0,0.19,0.99,87.0,63.0,8.2,94.0
